"","Institution","Titre du poste","Domaine","Date limite"
"131","IICA Haiti","Spécialiste en Genre","Agriculture �<U+0080><U+0093> Agroalimentaire","14 Oct 22"
"132","IICA Haiti","Spécialiste en Pépinière","Agriculture �<U+0080><U+0093> Agroalimentaire","14 Oct 22"
"133","JSI","Conseiller technique départemental","Santé et Professions médicales","14 Oct 22"
"134","Chemonics International","Chef de projet","Environnement et Sciences de la Terre","14 Oct 22"
"135","IICA Haiti","Spécialiste en Production Végétale","Agriculture �<U+0080><U+0093> Agroalimentaire","13 Oct 22"
"136","IICA Haiti","Agent(e) Technique Local(e)","Agriculture �<U+0080><U+0093> Agroalimentaire","13 Oct 22"
"137","CRS","Monitoring Evaluation Accountability and Learning Manager","Sciences économiques et politiques","13 Oct 22"
"138","CRS","Chief of Party I","Sciences économiques et politiques","13 Oct 22"
"139","CRS","Chauffeur","Transport et Logistique","13 Oct 22"
"140","PNUD Haiti","Expert (e) thématique en Finances locales","Management/Gestion, Finance, Comptabilité et Commerce","13 Oct 22"
"141","MARNDR/PARSA","Un (e) Comptable","Management/Gestion, Finance, Comptabilité et Commerce","12 Oct 22"
"142","OPS/OMS","Spécialiste National �<U+0089>pidémiologiste","Santé et Professions médicales","11 Oct 22"
"143","ISC","Consultant en Sciences Politiques","Sciences économiques et politiques","10 Oct 22"
"144","ISC","Expert en Finances Publiques ou en sciences economiques avec des competences en finances publiques","Management/Gestion, Finance, Comptabilité et Commerce","10 Oct 22"
"145","ACF","Responsable de Departement Logistique","Management/Gestion, Finance, Comptabilité et Commerce","10 Oct 22"
"146","Habitat pour l'humanite Haiti","IT Specialist","Sciences Informatiques","10 Oct 22"
"147","CDS","Pharmacien","Santé et Professions médicales","10 Oct 22"
"148","CDS","Officier Psycho-social","Sciences Humaines et Sociales","10 Oct 22"
"149","HELP","Service-Learning Program Instructor (SLPI)- Full-time","Sciences de l�<U+0080><U+0099>Education","10 Oct 22"
"150","ZL/PIH","Health Information Systems Product Manager","Sciences Informatiques","10 Oct 22"
"151","Plan International-Haiti","Financial Analyst","Management/Gestion, Finance, Comptabilité et Commerce","7 Oct 22"
"152","Haiti Pro Staffing","SEO & Web Developper","Sciences Informatiques","6 Oct 22"
"153","PNUD Haiti","Coordonnateur (rice) de projet/Dialogue National","Sciences économiques et politiques","5 Oct 22"
"154","Fondation Serovie","Directeur des Finances et de l'Administration","Management/Gestion, Finance, Comptabilité et Commerce","4 Oct 22"
"155","MARNDR/PARSA","Responsables d'antennes (Grand-Anse, Nippes, Centre)","Agriculture �<U+0080><U+0093> Agroalimentaire","4 Oct 22"
"156","EpiC Project","Officier en Engagement et Mobilisation Communautaire","Sciences Humaines et Sociales","3 Oct 22"
"157","Concern Worldwide Haiti","Manager Egalité, Genre et Inclusion","Sciences Humaines et Sociales","3 Oct 22"
"158","Concern Worldwide Haiti","Manager Protection","Sciences Humaines et Sociales","3 Oct 22"
"159","GADEL","Officier d'Urgence","Agriculture �<U+0080><U+0093> Agroalimentaire","3 Oct 22"
"160","GADEL","Logisticien","Management/Gestion, Finance, Comptabilité et Commerce","3 Oct 22"
"161","GADEL","Une infirmière","Santé et Professions médicales","3 Oct 22"
"162","GADEL","Un Chauffeur","Transport et Logistique","3 Oct 22"
"163","Mercy Corps Haiti","Officier Programme   Eau et Assainissement","Agriculture �<U+0080><U+0093> Agroalimentaire","3 Oct 22"
"164","Mercy Corps Haiti","Assistant Genre","Sciences Humaines et Sociales","3 Oct 22"
"165","SOS Villages d'Enfants Haiti","Coordonnateur d�<U+0080><U+0099>Education et de Developpement de l�<U+0080><U+0099>Adolescent et de la Jeunesse","Sciences de l�<U+0080><U+0099>Education","3 Oct 22"
"166","MARNDR/PARSA","un (e) spécialiste en communication","Sciences Humaines et Sociales","3 Oct 22"
"167","HEI/SBH","Coordonnateur/Coordonnatrice de Santé Communautaire","Santé et Professions médicales","2 Oct 22"
"168","SOS Villages d'Enfants Haiti","Coordonnateur/trice de Communication externe","Communication et Journalisme","30 Sept 22"
